ROUTE,REFPT,ENDREFPT,RUNLENGTH_FROM,RUNLENGTH_TO,SEG_LENGTH,CURVE_UPDATEYR,PRICURVE,PRICURVECLASS,SECCURVE,SECCURVECLASS,OBJECTID
001A,0,0.011,0,0.011,0.011,"2,016",-1,A,,,1
001A,0.011,0.031,0.011,0.03,0.019,"2,016",106,F,,,2
001A,0.031,0.121,0.03,0.122,0.092,"2,016",-1,A,,,3
001A,0.121,0.379,0.122,0.36,0.238,"2,016","-1,286",B,,,4
001A,0.379,0.502,0.36,0.488,0.128,"2,016",-1,A,,,5
001A,0.502,0.617,0.488,0.608,0.12,"2,016",630,D,,,6
001A,0.617,0.744,0.608,0.74,0.132,"2,016",-1,A,,,7
001A,0.744,0.869,0.74,0.871,0.131,"2,016",696,C,,,8
001A,0.869,0.921,0.871,0.925,0.054,"2,016",-1,A,,,9
001A,0.921,1.037,0.925,1.044,0.119,"2,016",-631,D,,,10
001A,1.037,1.065,1.044,1.072,0.028,"2,016",-1,A,,,11
001A,1.065,1.176,1.072,1.179,0.107,"2,016",565,D,,,12
001A,1.176,1.205,1.179,1.208,0.029,"2,016",-1,A,,,13
001A,1.205,1.324,1.208,1.327,0.119,"2,016",-631,D,,,14
001A,1.324,1.375,1.327,1.372,0.045,"2,016",-1,A,,,15
001A,1.375,1.53,1.372,1.503,0.131,"2,016",695,C,,,16
001A,1.53,1.606,1.503,1.606,0.103,"2,016",-1,A,,,17
001A,1.606,1.802,1.606,1.8,0.194,"2,016","1,022",C,,,18
001A,1.802,1.85,1.8,1.85,0.05,"2,016",-1,A,,,19
001A,1.85,1.978,1.85,2.001,0.151,"2,016",-805,C,,,20
001A,1.978,2.106,2.001,2.116,0.115,"2,016",-1,A,,,21
001A,2.106,2.259,2.116,2.248,0.132,"2,016",695,C,,,22
001A,2.259,2.442,2.248,2.449,0.201,"2,016",-1,A,,,23
001A,2.442,2.595,2.449,2.618,0.169,"2,016",891,C,,,24
001A,2.595,2.995,2.618,2.984,0.366,"2,016",-1,A,,,25
001A,2.995,3.126,2.984,3.125,0.141,"2,016",739,C,,,26
001A,3.126,3.203,3.125,3.208,0.083,"2,016",-1,A,,,27
001A,3.203,3.388,3.208,3.408,0.2,"2,016","-1,067",B,,,28
001A,3.388,3.597,3.408,3.635,0.227,"2,016",-1,A,,,29
001A,3.597,4.019,3.635,4.01,0.375,"2,016","1,954",A,,,30
001A,4.019,5.989,4.01,5.973,1.963,"2,016",-1,A,,,31
001A,5.989,6.172,5.973,6.163,0.19,"2,016","1,000",C,,,32
001A,6.172,6.219,6.163,6.212,0.049,"2,016",-1,A,,,33
001A,6.219,6.63,6.212,6.617,0.405,"2,016","-2,158",A,,,34
001A,6.63,6.796,6.617,6.774,0.157,"2,016",-1,A,,,35
001A,6.796,6.934,6.774,6.91,0.136,"2,016",718,C,,,36
001A,6.934,8.319000000000001,6.91,8.284000000000001,1.374,"2,016",-1,A,,,37
001A,8.319000000000001,8.432,8.284000000000001,8.398,0.114,"2,016",-610,D,,,38
001A,8.432,8.582000000000001,8.398,8.555,0.157,"2,016",-1,A,,,39
001A,8.582000000000001,9.003,8.555,9.026999999999999,0.472,"2,016","2,476",A,,,40
001A,9.003,9.304,9.026999999999999,9.271000000000001,0.244,"2,016",-1,A,,,41
001A,9.304,9.390000000000001,9.271000000000001,9.349,0.078,"2,016",413,D,,,42
001A,9.390000000000001,9.586,9.349,9.545999999999999,0.197,"2,016",-1,A,,,43
001A,9.586,9.656000000000001,9.545999999999999,9.616,0.07,"2,016",370,E,,,44
001A,9.656000000000001,10.010999999999999,9.616,9.948,0.332,"2,016",-1,A,,,45
001A,10.010999999999999,10.032,9.948,9.968,0.02,"2,016",-135,F,,,46
001A,10.032,10.053000000000001,9.968,9.988,0.02,"2,016",-1,A,,,47
002A,0,0.006,0,0.006,0.006,"2,016",-1,A,,,48
002A,0.006,0.025,0.006,0.026,0.02,"2,016",-111,F,,,49
002A,0.025,0.098,0.026,0.104,0.078,"2,016",-1,A,,,50
002A,0.098,0.173,0.104,0.179,0.075,"2,016",-392,E,,,51
002A,0.173,0.376,0.179,0.39,0.211,"2,016",-1,A,,,52
002A,0.376,0.431,0.39,0.469,0.079,"2,016",-415,D,,,53
002A,0.431,0.44,0.469,0.482,0.013,"2,016",-1,A,,,54
002A,0.44,0.532,0.482,0.561,0.079,"2,016",414,D,,,55
002A,0.532,1.878,0.561,1.89,1.329,"2,016",-1,A,,,56
002A,1.878,1.975,1.89,1.968,0.078,"2,016",414,D,,,57
002A,1.975,1.99,1.968,1.981,0.013,"2,016",-1,A,,,58
002A,1.99,2.171,1.981,2.15,0.169,"2,016",-895,C,,,59
002A,2.171,2.188,2.15,2.171,0.021,"2,016",-1,A,,,60
