county,year,totalPopulation
San Juan,2004,634
Pitkin,2001,16183
Costilla,2006,3700
Broomfield,2016,67702
Jackson,2019,1378
Broomfield,2000,38545
Eagle,2017,53722
Kit Carson,2014,7665
Pueblo,2008,156250
Rio Blanco,2020,6521
Crowley,2009,5800
Garfield,2010,56150
Denver,2007,570438
Alamosa,2002,15271
Douglas,2013,306326
Mineral,2016,771
Morgan,2015,28339
Hinsdale,2021,779
Mineral,2015,750
Baca,2006,4086
Clear Creek,2016,9240
Sedgwick,2015,2388
Fremont,2011,47075
Huerfano,2019,6776
Clear Creek,2010,9155
Otero,2001,19899
Montrose,2008,39947
Weld,2018,313220
Elbert,2015,24060
Fremont,2016,47286
Teller,2021,24919
Routt,2004,21292
Elbert,2020,26215
Delta,2002,28776
El Paso,2012,648447
Moffat,2001,13090
Rio Blanco,2015,6620
Prowers,2008,12687
Saguache,2020,6387
Kiowa,2000,1612
Baca,2005,4100
Sedgwick,2010,2367
Hinsdale,2009,828
Boulder,2009,293641
Lincoln,2009,5465
Bent,2003,6658
Park,2004,15914
Montrose,2014,41385
Lincoln,2001,6072
Conejos,2013,8071
Dolores,2019,2085
Washington,2016,4745
Otero,2010,18838
Gunnison,2009,15269
Baca,2010,3795
Huerfano,2002,7916
Adams,2008,425134
Gilpin,2001,4830
Pueblo,2014,160871
Arapahoe,2010,574819
Adams,2019,516483
Mineral,2003,829
Weld,2019,322339
Jefferson,2021,579651
Chaffee,2022,20229
Hinsdale,2012,835
Adams,2014,479906
Dolores,2020,2083
Mineral,2000,836
Mesa,2018,154047
Sedgwick,2018,2401
Phillips,2003,4476
Logan,2009,22515
Prowers,2002,14006
Elbert,2011,23033
Phillips,2006,4505
Lake,2002,7726
Delta,2016,30490
Lincoln,2017,5597
Moffat,2008,13443
Routt,2015,23823
Las Animas,2005,15570
Rio Grande,2020,11529
Baca,2000,4500
Cheyenne,2022,1699
San Juan,2007,689
Delta,2009,30628
Montrose,2006,37973
La Plata,2011,51805
Alamosa,2014,15792
Rio Blanco,2013,6762
Saguache,2005,6286
Montezuma,2020,25878
Teller,2012,23270
Weld,2004,214065
Alamosa,2006,15353
Morgan,2008,27742
Teller,2016,23606
Boulder,2012,305880
Pueblo,2004,148721
Rio Grande,2016,11731
Prowers,2006,13210
El Paso,2020,732053
Grand,2016,15042
La Plata,2020,55656
Baca,2017,3524
Teller,2006,22791
Douglas,2020,360123
San Miguel,2017,8013
Routt,2021,25099
La Plata,2015,54302
Mineral,2010,705
Lake,2022,7165
Broomfield,2013,60664
Denver,2000,556740
Yuma,2001,9833
Costilla,2021,3619
Jackson,2000,1574
Larimer,2019,356798
Rio Blanco,2005,5820
Broomfield,2022,76473
Arapahoe,2000,490722
Prowers,2004,13659
Broomfield,2008,54399
Pitkin,2012,17201
Ouray,2013,4519
Boulder,2002,284434
Fremont,2004,46537
La Plata,2016,54879
Sedgwick,2004,2610
San Juan,2010,709
Teller,2004,22215
Arapahoe,2017,642971
Otero,2022,18465
Otero,2021,18556
Lincoln,2015,5549
Conejos,2009,8211
Arapahoe,2002,510500
Montrose,2019,42503
El Paso,2016,692291
Costilla,2012,3513
Mineral,2002,806
Delta,2021,31674
El Paso,2019,725495
